stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
33,65,-0.0872665,0.698132,-0.174533,0.174533,-0.10881,0.681422,-0.154172,0.140943,2.15439,0.467862,-0.305414,0.503851
